"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Precinct 1, District of Columbia, District of Columbia","Precinct 2, District of Columbia, District of Columbia","Precinct 3, District of Columbia, District of Columbia","Precinct 4, District of Columbia, District of Columbia","Precinct 5, District of Columbia, District of Columbia","Precinct 6, District of Columbia, District of Columbia","Precinct 7, District of Columbia, District of Columbia","Precinct 8, District of Columbia, District of Columbia","Precinct 9, District of Columbia, District of Columbia","Precinct 10, District of Columbia, District of Columbia","Precinct 11, District of Columbia, District of Columbia","Precinct 12, District of Columbia, District of Columbia","Precinct 13, District of Columbia, District of Columbia","Precinct 14, District of Columbia, District of Columbia","Precinct 15, District of Columbia, District of Columbia","Precinct 16, District of Columbia, District of Columbia","Precinct 17, District of Columbia, District of Columbia","Precinct 18, District of Columbia, District of Columbia","Precinct 19, District of Columbia, District of Columbia","Precinct 20, District of Columbia, District of Columbia","Precinct 21, District of Columbia, District of Columbia","Precinct 22, District of Columbia, District of Columbia","Precinct 23, District of Columbia, District of Columbia","Precinct 24, District of Columbia, District of Columbia","Precinct 25, District of Columbia, District of Columbia","Precinct 26, District of Columbia, District of Columbia","Precinct 27, District of Columbia, District of Columbia","Precinct 28, District of Columbia, District of Columbia","Precinct 29, District of Columbia, District of Columbia","Precinct 30, District of Columbia, District of Columbia","Precinct 31, District of Columbia, District of Columbia","Precinct 32, District of Columbia, District of Columbia","Precinct 33, District of Columbia, District of Columbia","Precinct 34, District of Columbia, District of Columbia","Precinct 35, District of Columbia, District of Columbia","Precinct 36, District of Columbia, District of Columbia","Precinct 37, District of Columbia, District of Columbia","Precinct 38, District of Columbia, District of Columbia","Precinct 39, District of Columbia, District of Columbia","Precinct 40, District of Columbia, District of Columbia","Precinct 41, District of Columbia, District of Columbia","Precinct 42, District of Columbia, District of Columbia","Precinct 43, District of Columbia, District of Columbia","Precinct 44, District of Columbia, District of Columbia","Precinct 45, District of Columbia, District of Columbia","Precinct 46, District of Columbia, District of Columbia","Precinct 47, District of Columbia, District of Columbia","Precinct 48, District of Columbia, District of Columbia","Precinct 49, District of Columbia, District of Columbia","Precinct 50, District of Columbia, District of Columbia","Precinct 51, District of Columbia, District of Columbia","Precinct 52, District of Columbia, District of Columbia","Precinct 53, District of Columbia, District of Columbia","Precinct 54, District of Columbia, District of Columbia","Precinct 55, District of Columbia, District of Columbia","Precinct 56, District of Columbia, District of Columbia","Precinct 57, District of Columbia, District of Columbia","Precinct 58, District of Columbia, District of Columbia","Precinct 59, District of Columbia, District of Columbia","Precinct 60, District of Columbia, District of Columbia","Precinct 61, District of Columbia, District of Columbia","Precinct 62, District of Columbia, District of Columbia","Precinct 63, District of Columbia, District of Columbia","Precinct 64, District of Columbia, District of Columbia","Precinct 65, District of Columbia, District of Columbia","Precinct 66, District of Columbia, District of Columbia","Precinct 67, District of Columbia, District of Columbia","Precinct 68, District of Columbia, District of Columbia","Precinct 69, District of Columbia, District of Columbia","Precinct 70, District of Columbia, District of Columbia","Precinct 71, District of Columbia, District of Columbia","Precinct 72, District of Columbia, District of Columbia","Precinct 73, District of Columbia, District of Columbia","Precinct 74, District of Columbia, District of Columbia","Precinct 75, District of Columbia, District of Columbia","Precinct 76, District of Columbia, District of Columbia","Precinct 77, District of Columbia, District of Columbia","Precinct 78, District of Columbia, District of Columbia","Precinct 79, District of Columbia, District of Columbia","Precinct 80, District of Columbia, District of Columbia","Precinct 81, District of Columbia, District of Columbia","Precinct 82, District of Columbia, District of Columbia","Precinct 83, District of Columbia, District of Columbia","Precinct 84, District of Columbia, District of Columbia","Precinct 85, District of Columbia, District of Columbia","Precinct 86, District of Columbia, District of Columbia","Precinct 87, District of Columbia, District of Columbia","Precinct 88, District of Columbia, District of Columbia","Precinct 89, District of Columbia, District of Columbia","Precinct 90, District of Columbia, District of Columbia","Precinct 91, District of Columbia, District of Columbia","Precinct 92, District of Columbia, District of Columbia","Precinct 93, District of Columbia, District of Columbia","Precinct 94, District of Columbia, District of Columbia","Precinct 95, District of Columbia, District of Columbia","Precinct 96, District of Columbia, District of Columbia","Precinct 97, District of Columbia, District of Columbia","Precinct 98, District of Columbia, District of Columbia","Precinct 99, District of Columbia, District of Columbia","Precinct 100, District of Columbia, District of Columbia","Precinct 101, District of Columbia, District of Columbia","Precinct 102, District of Columbia, District of Columbia","Precinct 103, District of Columbia, District of Columbia","Precinct 104, District of Columbia, District of Columbia","Precinct 105, District of Columbia, District of Columbia","Precinct 106, District of Columbia, District of Columbia","Precinct 107, District of Columbia, District of Columbia","Precinct 108, District of Columbia, District of Columbia","Precinct 109, District of Columbia, District of Columbia","Precinct 110, District of Columbia, District of Columbia","Precinct 111, District of Columbia, District of Columbia","Precinct 112, District of Columbia, District of Columbia","Precinct 113, District of Columbia, District of Columbia","Precinct 114, District of Columbia, District of Columbia","Precinct 115, District of Columbia, District of Columbia","Precinct 116, District of Columbia, District of Columbia","Precinct 117, District of Columbia, District of Columbia","Precinct 118, District of Columbia, District of Columbia","Precinct 119, District of Columbia, District of Columbia","Precinct 120, District of Columbia, District of Columbia","Precinct 121, District of Columbia, District of Columbia","Precinct 122, District of Columbia, District of Columbia","Precinct 123, District of Columbia, District of Columbia","Precinct 124, District of Columbia, District of Columbia","Precinct 125, District of Columbia, District of Columbia","Precinct 126, District of Columbia, District of Columbia","Precinct 127, District of Columbia, District of Columbia","Precinct 128, District of Columbia, District of Columbia","Precinct 129, District of Columbia, District of Columbia","Precinct 130, District of Columbia, District of Columbia","Precinct 131, District of Columbia, District of Columbia","Precinct 132, District of Columbia, District of Columbia","Precinct 133, District of Columbia, District of Columbia","Precinct 134, District of Columbia, District of Columbia","Precinct 135, District of Columbia, District of Columbia","Precinct 136, District of Columbia, District of Columbia","Precinct 137, District of Columbia, District of Columbia","Precinct 138, District of Columbia, District of Columbia","Precinct 139, District of Columbia, District of Columbia","Precinct 140, District of Columbia, District of Columbia","Precinct 141, District of Columbia, District of Columbia","Precinct 142, District of Columbia, District of Columbia","Precinct 143, District of Columbia, District of Columbia"
"Total:","6,385,162","9,944","6,908","6,354","6,532","4,823","10,853","3,327","6,178","5,809","5,795","7,794","1,520","2,708","6,533","5,932","6,252","10,361","7,723","6,041","3,257","1,994","7,146","5,420","5,131","7,232","5,559","4,263","5,672","2,806","2,948","4,784","5,120","5,551","7,646","6,094","8,233","7,363","5,256","7,774","7,176","7,243","3,270","2,761","6,967","3,449","4,404","6,229","4,501","1,611","4,370","6,084","2,270","2,926","3,766","3,695","5,963","4,495","3,690","3,568","6,297","3,305","4,615","6,290","3,528","3,974","6,909","3,919","4,774","2,913","2,382","4,250","6,585","2,937","8,917","6,463","4,578","4,410","4,629","3,451","4,251","7,251","4,060","13,804","3,616","4,909","3,366","3,965","3,380","5,030","2,935","6,675","2,086","3,457","3,105","2,507","3,399","2,341","2,908","2,890","4,481","1,996","3,971","4,969","5,489","3,637","4,167","3,038","1,380","1,249","4,669","3,798","3,111","3,348","5,198","4,474","6,448","3,637","5,122","4,047","3,786","5,856","2,768","6,951","4,229","7,562","7,224","6,763","4,624","6,175","2,067","11,036","3,119","1,855","3,632","4,624","1,660","1,929","4,499","4,676","2,613","4,515","5,060","3,958"
"    Population of one race:","5,741,755","9,119","6,483","5,846","5,920","4,356","9,813","2,938","5,589","5,367","5,129","6,962","1,376","2,478","5,901","5,389","5,690","9,348","7,225","5,563","3,025","1,803","6,491","4,726","4,592","6,484","4,958","3,854","5,072","2,506","2,566","4,236","4,568","4,949","6,881","5,403","7,335","6,690","4,705","6,857","6,170","6,469","2,936","2,481","6,378","3,118","3,918","5,539","3,946","1,407","3,951","5,433","2,059","2,579","3,380","3,253","5,314","4,060","3,340","3,196","5,830","3,042","4,144","5,643","3,188","3,711","6,374","3,636","4,420","2,692","2,166","3,951","6,178","2,635","8,161","5,895","4,252","4,099","4,365","3,290","4,114","6,708","3,748","12,557","3,255","4,513","3,089","3,628","3,071","4,612","2,681","6,153","2,004","3,340","2,924","2,427","3,302","2,255","2,767","2,752","4,308","1,907","3,813","4,801","5,251","3,506","4,022","2,919","1,307","1,167","4,485","3,631","2,992","3,168","4,939","4,349","6,248","3,507","4,954","3,895","3,666","5,707","2,668","6,330","4,001","7,304","6,912","6,252","4,222","5,530","1,920","10,150","3,041","1,753","3,514","4,220","1,476","1,720","4,017","4,388","2,497","4,133","4,547","3,639"
"        White alone","2,844,091","4,398","4,441","4,009","4,528","3,866","7,659","2,245","4,779","3,882","4,077","5,472","1,155","2,037","4,516","4,340","4,322","5,589","3,387","2,777","1,290","700","4,518","2,520","3,303","5,504","4,135","3,277","3,896","2,019","2,221","3,701","3,688","3,963","5,407","3,718","3,086","3,101","1,957","3,670","3,621","2,390","1,491","1,041","1,107","1,351","1,373","2,107","1,580","649","2,970","4,665","1,721","669","1,044","893","1,179","722","635","813","514","380","1,346","1,845","537","420","991","743","1,749","621","570","517","786","1,168","2,661","2,362","1,366","1,314","661","325","843","2,978","2,193","8,220","2,665","3,752","2,216","2,229","2,612","4,042","2,121","3,563","65","124","71","55","65","47","89","91","70","139","106","90","164","68","80","39","93","116","190","133","74","249","207","31","70","38","66","157","96","45","44","2,186","70","59","407","2,881","2,007","3,538","1,583","7,449","55","123","70","2,158","1,160","1,097","2,794","285","130","3,383","2,710","2,593"
"        Black or African American alone","1,562,340","3,447","671","377","296","104","600","226","276","500","394","487","75","111","605","273","606","1,637","2,895","2,282","1,301","830","1,102","1,358","604","327","245","216","495","202","124","192","375","429","606","856","2,661","2,456","1,527","1,615","886","1,987","644","979","3,611","1,316","1,884","1,736","1,769","485","503","498","199","1,042","1,593","1,854","2,779","2,498","2,068","1,772","3,363","1,877","2,592","2,847","2,363","2,780","4,760","2,653","1,708","1,916","1,422","3,181","4,972","1,213","4,212","2,923","2,293","2,430","3,388","2,716","3,026","3,411","1,280","2,920","353","469","688","1,199","282","216","344","2,229","1,880","3,064","2,713","2,243","3,116","2,150","2,563","2,537","4,137","1,653","3,439","4,487","4,805","3,367","3,822","2,806","1,183","1,007","4,213","3,408","2,836","2,848","4,618","4,268","6,101","3,359","4,745","3,664","3,512","5,574","2,502","3,783","3,779","7,158","6,338","2,948","1,765","795","199","1,877","2,908","1,579","3,397","1,709","114","438","643","3,853","2,318","326","1,288","463"
"        American Indian and Alaska Native alone","40,077","25","23","24","11","8","24","8","13","5","8","35","7","3","12","11","26","105","34","17","6","8","21","59","18","19","9","5","12","13","5","1","4","13","22","41","34","72","53","46","130","116","37","40","103","28","34","61","26","4","6","23","6","42","16","35","90","32","44","35","48","24","14","35","21","12","45","9","25","17","9","22","27","19","50","25","37","23","22","15","11","35","13","16","11","7","5","1","6","19","12","11","5","23","11","11","19","15","13","2","8","8","38","28","14","10","15","11","6","4","12","17","23","7","15","7","19","12","24","7","4","25","6","31","50","12","16","31","17","15","3","37","23","6","15","15","11","4","14","14","8","11","21","6"
"        Asian alone","699,566","1,035","1,076","1,251","959","268","1,198","386","407","741","527","741","108","265","576","587","512","1,075","637","279","305","60","585","279","358","405","411","252","466","192","171","295","387","400","673","407","471","585","237","386","439","420","140","134","139","123","152","278","168","82","353","174","112","71","75","66","129","89","71","135","59","50","73","173","77","74","204","103","197","53","50","57","109","86","314","354","208","126","59","48","77","170","189","1,019","170","206","113","132","127","257","110","253","1","9","14","15","17","10","13","8","34","4","17","9","13","5","11","4","4","22","13","10","28","18","33","8","9","13","11","18","24","12","18","128","29","7","30","269","305","818","92","578","17","13","9","202","134","122","443","133","10","320","378","483"
"        Native Hawaiian and Other Pacific Islander alone","4,609","12","17","1","3","3","9","8","3","0","1","4","0","0","4","2","11","3","2","5","9","2","7","2","0","7","1","0","0","0","2","1","5","2","5","3","12","15","2","9","10","8","1","2","4","1","0","5","0","1","0","0","0","0","0","2","3","1","1","3","2","2","0","7","4","1","1","2","20","0","1","2","1","4","10","6","13","8","2","0","2","0","1","7","2","3","5","1","3","5","3","5","0","4","0","0","1","0","1","0","3","6","0","3","1","2","1","3","0","1","3","1","0","1","1","1","1","1","6","0","1","0","0","7","0","4","1","2","2","5","6","11","1","2","0","5","0","1","0","2","0","3","1","0"
"        Some Other Race alone","591,072","202","255","184","123","107","323","65","111","239","122","223","31","62","188","176","213","939","270","203","114","203","258","508","309","222","157","104","203","80","43","46","109","142","168","378","1,071","461","929","1,131","1,084","1,548","623","285","1,414","299","475","1,352","403","186","119","73","21","755","652","403","1,134","718","521","438","1,844","709","119","736","186","424","373","126","721","85","114","172","283","145","914","225","335","198","233","186","155","114","72","375","54","76","62","66","41","73","91","92","53","116","115","103","84","33","88","114","56","97","213","184","254","54","93","56","21","17","54","62","31","45","65","34","48","84","102","49","29","51","98","195","73","64","120","121","126","359","37","198","37","30","23","131","57","58","123","101","31","90","149","94"
"    Population of two or more races:","643,407","825","425","508","612","467","1,040","389","589","442","666","832","144","230","632","543","562","1,013","498","478","232","191","655","694","539","748","601","409","600","300","382","548","552","602","765","691","898","673","551","917","1,006","774","334","280","589","331","486","690","555","204","419","651","211","347","386","442","649","435","350","372","467","263","471","647","340","263","535","283","354","221","216","299","407","302","756","568","326","311","264","161","137","543","312","1,247","361","396","277","337","309","418","254","522","82","117","181","80","97","86","141","138","173","89","158","168","238","131","145","119","73","82","184","167","119","180","259","125","200","130","168","152","120","149","100","621","228","258","312","511","402","645","147","886","78","102","118","404","184","209","482","288","116","382","513","319"
"        Population of two races:","597,218","731","397","482","577","439","982","367","559","431","643","771","133","219","598","511","524","933","455","448","226","178","608","628","507","701","561","388","551","282","357","502","502","545","709","629","833","620","488","854","921","720","316","254","551","306","433","620","515","185","403","605","206","312","354","391","595","399","317","329","438","233","422","592","302","233","480","248","321","194","189","261","348","277","670","502","295","268","224","139","126","486","294","1,140","331","357","257","319","299","381","236","480","70","103","145","73","95","78","129","122","129","78","137","142","206","112","112","103","64","65","149","135","95","162","232","100","151","115","152","132","102","123","89","538","203","215","285","468","345","597","133","816","69","95","103","366","170","192","436","261","94","353","464","301"
